                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.52813,                0.81586,                0.34856,                0.90694,                0.99338,                 0.9932,                0.99479,                0.93031,                0.99202,                0.99092,                0.99458,                0.83541,                0.36311,                0.53295,                0.24183,                 0.8576,               0.006964,               0.006964,               0.006964
                     94,                0.52703,                0.80214,                0.34661,                0.90822,                0.99544,                 0.9932,                0.99484,                 0.9307,                0.99414,                0.99184,                0.99483,                0.83353,                0.36126,                0.53525,                0.24418,                0.85607,               0.006931,               0.006931,               0.006931
                     95,                0.52656,                0.81198,                0.34842,                0.90786,                0.99649,                0.99398,                0.99486,                0.92968,                0.99551,                0.99204,                0.99483,                0.83231,                0.36084,                0.53241,                0.23844,                0.85795,               0.006898,               0.006898,               0.006898
                     96,                0.52408,                0.81007,                0.34698,                0.90574,                0.99362,                0.99417,                0.99484,                0.93245,                0.99409,                0.99223,                0.99447,                0.83689,                0.35924,                0.52386,                0.23625,                0.85672,               0.006865,               0.006865,               0.006865
                     97,                0.52307,                0.80207,                0.34749,                0.90536,                0.99402,                0.99223,                 0.9948,                0.93104,                0.99337,                0.99059,                0.99462,                 0.8348,                0.35567,                0.53319,                0.23678,                0.85396,               0.006832,               0.006832,               0.006832
                     98,                0.52058,                0.80646,                0.34476,                0.90447,                0.99435,                0.99456,                0.99481,                0.93258,                0.99242,                0.99177,                0.99424,                0.83452,                 0.3584,                0.52887,                0.23731,                0.85326,               0.006799,               0.006799,               0.006799
                     99,                0.51706,                0.80233,                0.34306,                0.90235,                0.99554,                0.99164,                0.99475,                0.92952,                0.99385,                 0.9899,                0.99471,                0.83622,                0.36374,                0.52846,                 0.2402,                0.85996,               0.006766,               0.006766,               0.006766
                    100,                0.52105,                0.80973,                0.34513,                 0.9053,                0.99511,                0.99223,                0.99473,                0.93369,                 0.9926,                 0.9903,                0.99453,                0.83729,                0.35566,                0.53485,                0.23344,                0.85454,               0.006733,               0.006733,               0.006733
                    101,                0.52113,                 0.8001,                0.34599,                0.90491,                0.99648,                0.99203,                0.99488,                0.93276,                0.99453,                0.99009,                 0.9944,                0.83787,                0.35501,                0.53155,                0.23614,                0.85411,                 0.0067,                 0.0067,                 0.0067
                    102,                0.51819,                 0.8073,                0.34078,                0.90198,                 0.9961,                0.99176,                0.99485,                0.93253,                0.99493,                 0.9899,                0.99468,                0.83628,                 0.3566,                0.52717,                0.23496,                0.85498,               0.006667,               0.006667,               0.006667
                    103,                0.52278,                0.80328,                0.34187,                0.90512,                0.99435,                0.99191,                0.99483,                0.93392,                0.99299,                0.99055,                0.99478,                 0.8398,                0.35607,                0.53187,                0.23779,                0.85692,               0.006634,               0.006634,               0.006634
